timestamp,user_id,now_id,endpoint,use_case,type,ip,jwt_payload,label
2025-06-22T17:57:44.121Z,user001,user001,/login,Login,AUTH,159.30.90.65,eyJ1c2VyX2lkIjoidXNlcjAwMSIsImlhdCI6MTc1MDYxNTA2NDE4NCwiZXhwIjoxNzUwNjE1MDY3Nzg0fQ,normal
2025-06-22T17:57:44.198Z,user001,user001,/edit,EditContent,UPDATE,159.30.90.65,eyJ1c2VyX2lkIjoidXNlcjAwMSIsImlhdCI6MTc1MDYxNTA2NDE4NCwiZXhwIjoxNzUwNjE1MDY3Nzg0fQ,normal
2025-06-22T17:57:44.205Z,user001,user001,/logout,Logout,AUTH,159.30.90.65,eyJ1c2VyX2lkIjoidXNlcjAwMSIsImlhdCI6MTc1MDYxNTA2NDE4NCwiZXhwIjoxNzUwNjE1MDY3Nzg0fQ,normal
2025-06-22T17:57:44.311Z,user002,user002,/login,Login,AUTH,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNCwiZXhwIjoxNzUwNjE1MDY3OTE0fQ,normal
2025-06-22T17:57:44.319Z,user002,user002,/browse,ViewPage,READ,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNCwiZXhwIjoxNzUwNjE1MDY3OTE0fQ,normal
2025-06-22T17:57:44.323Z,user002,user002,/browse,ViewPage,READ,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNCwiZXhwIjoxNzUwNjE1MDY3OTE0fQ,normal
2025-06-22T17:57:44.327Z,user002,user002,/browse,ViewPage,READ,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNCwiZXhwIjoxNzUwNjE1MDY3OTE0fQ,normal
2025-06-22T17:57:44.435Z,user003,user003,/login,Login,AUTH,91.130.112.213,eyJ1c2VyX2lkIjoidXNlcjAwMyIsImlhdCI6MTc1MDYxNTA2NDQzOCwiZXhwIjoxNzUwNjE1MDY4MDM4fQ,normal
2025-06-22T17:57:44.441Z,user003,user003,/browse,ViewPage,READ,91.130.112.213,eyJ1c2VyX2lkIjoidXNlcjAwMyIsImlhdCI6MTc1MDYxNTA2NDQzOCwiZXhwIjoxNzUwNjE1MDY4MDM4fQ,normal
2025-06-22T17:57:44.558Z,user004,user004,/login,Login,AUTH,31.155.69.68,eyJ1c2VyX2lkIjoidXNlcjAwNCIsImlhdCI6MTc1MDYxNTA2NDU2MSwiZXhwIjoxNzUwNjE1MDY4MTYxfQ,normal
2025-06-22T17:57:44.564Z,user004,user004,/browse,ViewPage,READ,31.155.69.68,eyJ1c2VyX2lkIjoidXNlcjAwNCIsImlhdCI6MTc1MDYxNTA2NDU2MSwiZXhwIjoxNzUwNjE1MDY4MTYxfQ,normal
2025-06-22T17:57:44.568Z,user004,user004,/browse,ViewPage,READ,31.155.69.68,eyJ1c2VyX2lkIjoidXNlcjAwNCIsImlhdCI6MTc1MDYxNTA2NDU2MSwiZXhwIjoxNzUwNjE1MDY4MTYxfQ,normal
2025-06-22T17:57:44.683Z,user005,user005,/login,Login,AUTH,116.12.43.79,eyJ1c2VyX2lkIjoidXNlcjAwNSIsImlhdCI6MTc1MDYxNTA2NDY4NSwiZXhwIjoxNzUwNjE1MDY4Mjg1fQ,normal
2025-06-22T17:57:44.794Z,user006,user006,/login,Login,AUTH,26.183.28.98,eyJ1c2VyX2lkIjoidXNlcjAwNiIsImlhdCI6MTc1MDYxNTA2NDc5NywiZXhwIjoxNzUwNjE1MDY4Mzk3fQ,normal
2025-06-22T17:57:44.800Z,user006,user006,/browse,ViewPage,READ,26.183.28.98,eyJ1c2VyX2lkIjoidXNlcjAwNiIsImlhdCI6MTc1MDYxNTA2NDc5NywiZXhwIjoxNzUwNjE1MDY4Mzk3fQ,normal
2025-06-22T17:57:44.804Z,user006,user006,/edit,EditContent,UPDATE,26.183.28.98,eyJ1c2VyX2lkIjoidXNlcjAwNiIsImlhdCI6MTc1MDYxNTA2NDc5NywiZXhwIjoxNzUwNjE1MDY4Mzk3fQ,normal
2025-06-22T17:57:44.810Z,user006,user006,/edit,EditContent,UPDATE,26.183.28.98,eyJ1c2VyX2lkIjoidXNlcjAwNiIsImlhdCI6MTc1MDYxNTA2NDc5NywiZXhwIjoxNzUwNjE1MDY4Mzk3fQ,normal
2025-06-22T17:57:44.815Z,user006,user006,/browse,ViewPage,READ,26.183.28.98,eyJ1c2VyX2lkIjoidXNlcjAwNiIsImlhdCI6MTc1MDYxNTA2NDc5NywiZXhwIjoxNzUwNjE1MDY4Mzk3fQ,normal
